ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
355,Justen,BRA,Defensor,Fluminense,19.0,2003.0,1.0,1.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,87.5,322.0,47.0,12.0,13.0,92.3,6.0,7.0,85.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0
359,Walter Kannemann,ARG,Defensor,Grêmio,31.0,1991.0,28.0,28.0,2359.0,26.2,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,1.0,1.0,0.2,1.2,12.0,81.0,1.0,0.0,0.04,0.04,0.0,0.04,0.04,0.01,0.05,0.04,0.05,791.0,1011.0,78.2,14032.0,6644.0,317.0,369.0,85.9,402.0,472.0,85.2,58.0,136.0,42.6,10.0,4.0,40.0,0.38,0.15,0.0,0.0,13.6,0.0,50.0,33.0,30.0,18.0,2.0,27.0,51.9,25.0,16.0,20.0,45.0,95.0,116.0,0.0
360,Kanu,BRA,Defensor,Bahia,25.0,1997.0,33.0,33.0,2909.0,32.3,1.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,1.7,1.7,0.6,2.3,28.0,101.0,7.0,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07,1411.0,1576.0,89.5,26677.0,8849.0,515.0,542.0,95.0,719.0,769.0,93.5,149.0,213.0,70.0,20.0,5.0,25.0,0.62,0.15,0.05,0.2,13.0,0.0,34.0,25.0,26.0,5.0,3.0,21.0,53.8,18.0,18.0,20.0,47.0,81.0,103.0,1.0
370,Kevyson,BRA,Defensor,Santos,18.0,2004.0,17.0,12.0,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,34.0,35.0,62.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,306.0,439.0,69.7,4824.0,1969.0,153.0,171.0,89.5,129.0,175.0,73.7,15.0,51.0,29.4,7.0,3.0,42.9,0.65,0.28,0.0,0.0,24.2,0.0,30.0,23.0,18.0,11.0,1.0,13.0,59.1,9.0,3.0,5.0,22.0,52.0,22.0,1.0
371,Khellven,BRA,Defensor,Ath Paranaense,21.0,2001.0,15.0,13.0,995.0,11.1,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.4,3.4,18.0,18.0,51.0,0.0,0.36,0.36,0.0,0.36,0.09,0.22,0.31,0.09,0.31,318.0,468.0,67.9,5639.0,2031.0,153.0,182.0,84.1,122.0,180.0,67.8,38.0,77.0,49.4,10.0,2.0,20.0,0.9,0.18,0.0,0.0,21.0,3.0,14.0,11.0,6.0,8.0,0.0,11.0,52.4,10.0,5.0,4.0,16.0,30.0,29.0,0.0
373,Benjamín Kuscevic,CHI,Defensor,Coritiba,26.0,1996.0,23.0,23.0,2025.0,22.5,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,6.0,50.0,5.0,0.09,0.0,0.09,0.09,0.09,0.04,0.0,0.05,0.04,0.05,782.0,952.0,82.1,15833.0,5531.0,234.0,267.0,87.6,454.0,501.0,90.6,88.0,165.0,53.3,12.0,2.0,16.7,0.53,0.09,0.17,1.0,12.0,0.0,41.0,26.0,27.0,12.0,2.0,27.0,57.4,20.0,28.0,16.0,38.0,79.0,111.0,0.0
378,Mauricio Lemos,URU,Defensor,Atlético Mineiro,27.0,1995.0,27.0,25.0,2214.0,24.6,1.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.1,1.1,0.0,1.2,17.0,71.0,2.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,1043.0,1253.0,83.2,23092.0,8490.0,263.0,289.0,91.0,579.0,631.0,91.8,193.0,305.0,63.3,21.0,7.0,33.3,0.85,0.28,0.05,0.14,20.2,5.0,41.0,29.0,30.0,9.0,2.0,27.0,77.1,8.0,25.0,6.0,41.0,82.0,120.0,0.0
388,Lucão,BRA,Defensor,Bragantino,24.0,1998.0,3.0,2.0,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,61.0,75.0,81.3,1342.0,417.0,14.0,18.0,77.8,36.0,37.0,97.3,11.0,17.0,64.7,1.0,1.0,100.0,0.45,0.45,0.0,0.0,13.5,0.0,3.0,1.0,3.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,5.0,8.0,6.0,0.0
390,Lucas,BRA,Defensor,Santos,21.0,2001.0,9.0,7.0,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,14.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,260.0,341.0,76.2,3835.0,1849.0,154.0,177.0,87.0,91.0,119.0,76.5,10.0,26.0,38.5,4.0,3.0,75.0,0.59,0.44,0.0,0.0,21.2,0.0,14.0,8.0,10.0,4.0,0.0,7.0,35.0,13.0,3.0,8.0,6.0,20.0,20.0,0.0
391,Ayrton Lucas,BRA,Defensor,Flamengo,25.0,1997.0,35.0,29.0,2592.0,28.8,4.0,3.0,7.0,4.0,0.0,0.0,8.0,0.0,2.7,2.7,1.3,4.0,67.0,137.0,133.0,0.14,0.1,0.24,0.14,0.24,0.09,0.05,0.14,0.09,0.14,1578.0,1846.0,85.5,24444.0,6838.0,904.0,966.0,93.6,548.0,630.0,87.0,96.0,164.0,58.5,26.0,8.0,30.8,0.9,0.28,0.15,0.5,20.7,0.0,62.0,45.0,31.0,21.0,10.0,37.0,54.4,31.0,5.0,16.0,14.0,76.0,52.0,0.0
