ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
589,Rafael Ratão,BRA,Atacante,Bahia,27.0,1995.0,18.0,8.0,779.0,8.7,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,2.9,2.9,0.9,3.8,13.0,38.0,61.0,0.46,0.12,0.58,0.46,0.58,0.33,0.11,0.43,0.33,0.43,245.0,319.0,76.8,3475.0,920.0,142.0,172.0,82.6,82.0,105.0,78.1,8.0,18.0,44.4,24.0,11.0,45.8,2.77,1.27,0.17,0.36,17.1,0.0,25.0,17.0,11.0,11.0,3.0,13.0,44.8,16.0,0.0,7.0,2.0,27.0,3.0,0.0
590,Wellington Rato,BRA,Atacante,São Paulo,30.0,1992.0,32.0,21.0,1763.0,19.6,0.0,4.0,4.0,0.0,0.0,1.0,6.0,0.0,3.0,2.2,3.7,5.9,46.0,68.0,186.0,0.0,0.2,0.2,0.0,0.2,0.15,0.19,0.34,0.11,0.3,719.0,991.0,72.6,13032.0,3478.0,358.0,407.0,88.0,241.0,327.0,73.7,99.0,208.0,47.6,36.0,4.0,11.1,1.84,0.2,0.0,0.0,23.9,6.0,23.0,13.0,14.0,8.0,1.0,14.0,46.7,16.0,3.0,14.0,6.0,29.0,26.0,0.0
592,Pedro Raul,BRA,Atacante,Vasco da Gama,26.0,1996.0,12.0,9.0,835.0,9.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.6,2.6,0.9,3.5,5.0,12.0,40.0,0.22,0.0,0.22,0.22,0.22,0.28,0.1,0.38,0.28,0.38,114.0,180.0,63.3,1350.0,222.0,79.0,115.0,68.7,27.0,40.0,67.5,1.0,4.0,25.0,22.0,9.0,40.9,2.37,0.97,0.09,0.22,14.1,1.0,3.0,2.0,0.0,1.0,2.0,1.0,16.7,5.0,3.0,4.0,5.0,8.0,11.0,0.0
594,Reinaldo,BRA,Atacante,Ath Paranaense,21.0,2001.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,2.0,2.0,100.0,28.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.63,0.0,0.0,0.0,24.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
597,Réver,BRA,Atacante,Atlético Mineiro,38.0,1985.0,9.0,1.0,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,53.0,86.8,1040.0,510.0,10.0,10.0,100.0,28.0,29.0,96.6,8.0,14.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0
599,Everton Ribeiro,BRA,Atacante,Flamengo,33.0,1989.0,30.0,15.0,1475.0,16.4,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,3.7,5.2,36.0,143.0,97.0,0.18,0.24,0.43,0.18,0.43,0.09,0.23,0.32,0.09,0.32,751.0,943.0,79.6,12091.0,3591.0,382.0,438.0,87.2,290.0,351.0,82.6,54.0,96.0,56.3,22.0,9.0,40.9,1.34,0.55,0.14,0.33,21.9,1.0,21.0,12.0,8.0,10.0,3.0,10.0,25.6,29.0,3.0,6.0,11.0,32.0,5.0,0.0
600,Wesley Ribeiro,BRA,Atacante,Corinthians,17.0,2005.0,24.0,7.0,861.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.2,1.7,60.0,25.0,97.0,0.1,0.1,0.21,0.1,0.21,0.05,0.13,0.18,0.05,0.18,195.0,276.0,70.7,3222.0,722.0,101.0,126.0,80.2,78.0,97.0,80.4,12.0,28.0,42.9,15.0,5.0,33.3,1.57,0.52,0.07,0.2,20.7,0.0,15.0,11.0,8.0,5.0,2.0,9.0,40.9,13.0,0.0,8.0,6.0,21.0,4.0,0.0
607,Robert,BRA,Atacante,Cruzeiro,17.0,2005.0,9.0,1.0,186.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.1,4.0,0.0,19.0,0.48,0.0,0.48,0.48,0.48,0.5,0.01,0.52,0.5,0.52,25.0,40.0,62.5,322.0,31.0,16.0,17.0,94.1,8.0,16.0,50.0,0.0,4.0,0.0,10.0,4.0,40.0,4.84,1.94,0.1,0.25,15.5,0.0,5.0,2.0,4.0,1.0,0.0,3.0,37.5,5.0,0.0,4.0,1.0,6.0,2.0,0.0
608,Zé Roberto,BRA,Atacante,Coritiba,29.0,1993.0,10.0,7.0,523.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.4,0.4,0.7,1.1,7.0,14.0,27.0,0.17,0.17,0.34,0.17,0.34,0.06,0.13,0.19,0.06,0.19,86.0,134.0,64.2,1201.0,400.0,51.0,72.0,70.8,24.0,37.0,64.9,5.0,8.0,62.5,8.0,3.0,37.5,1.38,0.52,0.13,0.33,16.2,0.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,6.0,6.0,0.0
609,Robson,BRA,Atacante,Coritiba,31.0,1991.0,32.0,30.0,2351.0,26.1,12.0,4.0,16.0,5.0,7.0,8.0,13.0,0.0,10.6,4.2,2.3,6.5,32.0,68.0,146.0,0.46,0.15,0.61,0.19,0.34,0.4,0.09,0.49,0.16,0.25,457.0,722.0,63.3,7174.0,2419.0,266.0,351.0,75.8,142.0,216.0,65.7,38.0,87.0,43.7,35.0,14.0,40.0,1.34,0.54,0.14,0.36,19.6,0.0,52.0,29.0,23.0,23.0,6.0,20.0,35.7,36.0,5.0,23.0,20.0,72.0,28.0,1.0
