ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
732,Talles Wander,BRA,Atacante,São Paulo,19.0,2003.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,7.0,85.7,106.0,26.0,2.0,2.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
733,Wanderson,BRA,Defensor,América (MG),31.0,1991.0,7.0,5.0,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,121.0,166.0,72.9,2660.0,1137.0,38.0,43.0,88.4,61.0,76.0,80.3,22.0,45.0,48.9,2.0,1.0,50.0,0.36,0.18,0.0,0.0,12.3,0.0,5.0,4.0,4.0,0.0,1.0,1.0,14.3,6.0,4.0,2.0,4.0,9.0,28.0,0.0
734,Wanderson,BRA,Atacante,Internacional,28.0,1994.0,32.0,26.0,2336.0,26.0,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,4.1,4.1,2.6,6.7,97.0,71.0,169.0,0.27,0.12,0.39,0.27,0.39,0.16,0.1,0.26,0.16,0.26,628.0,811.0,77.4,9067.0,2225.0,388.0,442.0,87.8,195.0,253.0,77.1,32.0,68.0,47.1,38.0,20.0,52.6,1.46,0.77,0.18,0.35,20.6,0.0,35.0,24.0,12.0,14.0,9.0,15.0,36.6,26.0,3.0,16.0,16.0,51.0,13.0,0.0
735,Deivid Washington,BRA,Atacante,Santos,17.0,2005.0,9.0,5.0,427.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,0.1,1.8,11.0,5.0,13.0,0.42,0.0,0.42,0.42,0.42,0.36,0.03,0.39,0.36,0.39,57.0,79.0,72.2,733.0,162.0,37.0,47.0,78.7,16.0,21.0,76.2,1.0,1.0,100.0,17.0,7.0,41.2,3.58,1.48,0.12,0.29,17.8,0.0,4.0,1.0,0.0,1.0,3.0,2.0,25.0,6.0,0.0,4.0,1.0,5.0,3.0,0.0
736,Welington,BRA,Defensor,São Paulo,21.0,2001.0,16.0,11.0,936.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,36.0,44.0,57.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17,448.0,550.0,81.5,7707.0,2406.0,211.0,234.0,90.2,203.0,232.0,87.5,30.0,55.0,54.5,8.0,0.0,0.0,0.77,0.0,0.0,0.0,25.4,0.0,16.0,13.0,10.0,3.0,3.0,11.0,61.1,7.0,3.0,7.0,3.0,19.0,25.0,0.0
737,José Welison,BRA,Meio-Campista,Fortaleza,27.0,1995.0,26.0,20.0,1671.0,18.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,1.2,1.2,1.1,2.3,19.0,105.0,31.0,0.05,0.11,0.16,0.05,0.16,0.06,0.06,0.12,0.06,0.12,692.0,860.0,80.5,12084.0,3388.0,305.0,338.0,90.2,288.0,342.0,84.2,74.0,117.0,63.2,30.0,5.0,16.7,1.62,0.27,0.03,0.2,27.4,4.0,49.0,30.0,20.0,25.0,4.0,18.0,52.9,16.0,5.0,19.0,23.0,72.0,24.0,0.0
738,João Wellington,BRA,Meio-Campista,Cruzeiro,19.0,2004.0,7.0,3.0,366.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,92.0,113.0,81.4,1298.0,424.0,58.0,65.0,89.2,32.0,41.0,78.0,1.0,5.0,20.0,6.0,1.0,16.7,1.48,0.25,0.0,0.0,24.0,0.0,5.0,4.0,4.0,1.0,0.0,2.0,66.7,1.0,0.0,4.0,1.0,6.0,10.0,0.0
739,Wesley,BRA,Atacante,Cruzeiro,23.0,1999.0,29.0,22.0,1775.0,19.7,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,4.7,4.7,1.5,6.3,65.0,63.0,186.0,0.2,0.05,0.25,0.2,0.25,0.24,0.08,0.32,0.24,0.32,384.0,576.0,66.7,5913.0,1499.0,225.0,279.0,80.6,122.0,199.0,61.3,27.0,49.0,55.1,48.0,17.0,35.4,2.43,0.86,0.08,0.24,14.9,0.0,36.0,23.0,12.0,20.0,4.0,17.0,36.2,30.0,0.0,17.0,12.0,48.0,9.0,0.0
740,Wesley,BRA,Defensor,Flamengo,19.0,2003.0,35.0,27.0,2514.0,27.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.9,4.0,49.0,109.0,291.0,0.04,0.04,0.07,0.04,0.07,0.04,0.11,0.14,0.04,0.14,1283.0,1501.0,85.5,18156.0,4468.0,758.0,832.0,91.1,435.0,498.0,87.3,33.0,66.0,50.0,14.0,5.0,35.7,0.5,0.18,0.07,0.2,17.3,0.0,74.0,48.0,42.0,26.0,6.0,32.0,46.4,37.0,10.0,14.0,40.0,114.0,64.0,1.0
741,Wesley,BRA,Defensor,Grêmio,19.0,2004.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,39.0,53.8,267.0,136.0,16.0,19.0,84.2,5.0,14.0,35.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,66.7,1.0,0.0,0.0,1.0,4.0,0.0,1.0
